term,preferred_term,section_letter,section,definition,preferred_phrasing_note,source_url,source_note,source_status,term_slug
Lapse,,A,Recovery language,"A single return to gambling after a period of not gambling. A lapse is one event, not the end of recovery, and most people who stop gambling have one at some point. Treating a lapse as a data point — what happened right before it — is more useful than treating it as proof of failure.","""had a lapse"" or ""gambled once after stopping."" Avoid ""slipped up,"" which sounds careless, and avoid ""fell off the wagon.""",https://www.recoveryanswers.org/addiction-ary/,,sourced,lapse
Relapse,,A,Recovery language,"A return to a previous pattern of gambling, not just a single bet — the behavior comes back and stays back for a while. Clinically it is treated the same way a return of symptoms is treated in any chronic condition: as a signal to adjust the plan, not as a moral event.","""experienced a relapse"" or ""a recurrence of symptoms."" Never ""relapser.""",https://www.recoveryanswers.org/addiction-ary/,,sourced,relapse
Recurrence,,A,Recovery language,"The clinical-language alternative to ""relapse."" It frames the return of gambling the way medicine frames the return of any chronic illness — expected in some cases, treatable, and not a character failure. Increasingly preferred in public-health writing for exactly that reason.","Use ""recurrence"" in clinical and journalistic writing; ""relapse"" is acceptable when the person uses it about themselves.",https://www.recoveryanswers.org/addiction-ary/,,sourced,recurrence
Chasing losses,,A,Recovery language,"Betting more, or betting faster, specifically to win back money already lost. It is one of the listed diagnostic features of gambling disorder and is often the moment casual gambling turns into harm, because the goal stops being entertainment and becomes recovery of the money.","""chasing losses"" is descriptive, not stigmatizing — it is safe to use.",https://www.psychiatry.org/psychiatrists/practice/dsm,,sourced,chasing-losses
Urge,,A,Recovery language,"A strong pull to gamble, usually arriving as a physical feeling before it arrives as a thought. Urges rise, peak, and fall on their own, typically within 20–30 minutes, whether or not you act on them.","""an urge"" rather than ""weakness"" or ""temptation.""",https://www.ncpgambling.org/help-treatment/faqs-what-is-problem-gambling/,,sourced,urge
Craving,,A,Recovery language,"A sustained wanting that can last longer than a single urge and is often tied to a cue — a notification, a game starting, a payday. In research the words ""urge"" and ""craving"" are often used interchangeably; in practice, craving usually names the longer, quieter version.",safe to use as written.,https://www.ncpgambling.org/help-treatment/faqs-what-is-problem-gambling/,,sourced,craving
Urge surfing,,A,Recovery language,"A coping skill in which you notice an urge, describe what it feels like in the body, and wait it out without acting — riding it like a wave instead of fighting it. It works because urges are time-limited; the skill removes the need to win an argument with yourself.",safe to use as written.,https://www.samhsa.gov/,,sourced,urge-surfing
Trigger,,A,Recovery language,"Anything that reliably sets off an urge: a place, a person, a time of day, an emotion, an app icon, an odds graphic during a game. Triggers are personal, and naming yours is the first move in most relapse-prevention plans.",safe to use as written.,https://www.ncpgambling.org/help-treatment/problem-gambling-treatment-options/,,sourced,trigger
High-risk situation,,A,Recovery language,"The specific circumstances in which someone is most likely to gamble — Sunday afternoon alone, a bonus notification, a fight, a payday. Relapse-prevention work is largely the work of listing these in advance and deciding what happens instead.",safe to use as written.,https://www.ncpgambling.org/help-treatment/problem-gambling-treatment-options/,,sourced,high-risk-situation
Tilt,,A,Recovery language,"Poker and sports-betting slang for gambling while emotionally flooded — angry, panicked, or euphoric — and making decisions you would not make calm. Tilt is where the biggest single-session losses usually happen, because the money stops being a number and becomes an argument.","""on tilt"" is industry slang and is fine in quotes; in plain writing say ""gambling while emotionally overwhelmed.""",,[UNSOURCED — industry usage] No authoritative definitional source located; definition reflects consistent common usage.,unsourced,tilt
Abstinence,,A,Recovery language,"Not gambling at all. It is the goal most treatment programs and peer-support fellowships aim at, and for many people with a gambling disorder it is the only stable outcome — partly because gambling products are engineered to escalate.","""abstinence"" or ""not gambling."" Avoid ""clean,"" which implies the alternative is dirty.",https://www.recoveryanswers.org/addiction-ary/,,sourced,abstinence
Moderation,,A,Recovery language,"Continuing to gamble but within limits a person sets — money, time, or product. Moderation is a legitimate goal for some people, particularly those with lower-severity problems, and a poor fit for others; the evidence supports offering both goals rather than insisting on one.","""moderation"" or ""reduced gambling,"" not ""controlled gambling,"" which overstates the control.",https://www.ncpgambling.org/help-treatment/problem-gambling-treatment-options/,,sourced,moderation
Harm reduction,,A,Recovery language,"An approach that aims to reduce the damage gambling causes even when someone is not ready to stop — deposit limits, blocking the worst products, protecting the rent money. It does not compete with abstinence; it keeps people alive and solvent long enough to choose it.",safe to use as written.,https://www.samhsa.gov/,,sourced,harm-reduction
Recovery,,A,Recovery language,"The process of building a life in which gambling no longer runs the decisions — not just the absence of betting but the presence of money, relationships, sleep, and time that gambling had taken. Recovery is defined by the person living it, and most definitions now include improvement rather than only abstinence.","""in recovery,"" never ""recovered addict.""",https://www.samhsa.gov/,,sourced,recovery
Recovery capital,,A,Recovery language,"The total resources a person can draw on to get and stay well: money, housing, a job, family, health, community, and their own skills and beliefs. It explains why two people with identical gambling histories have very different outcomes, and why gambling debt is so corrosive — it directly drains the capital recovery runs on.",safe to use as written.,https://www.recoveryanswers.org/addiction-ary/,,sourced,recovery-capital
Natural recovery,,A,Recovery language,"Getting better without formal treatment or a support group. It is the most common route out of gambling problems and it is badly under-counted, because the people who take it never appear in any treatment or helpline statistic.","""natural recovery"" or ""self-change.""",https://www.recoveryanswers.org/addiction-ary/,,sourced,natural-recovery
Remission,,A,Recovery language,A period during which someone no longer meets the diagnostic criteria for gambling disorder. The DSM-5 distinguishes early remission (3–12 months) from sustained remission (12 months or longer).,safe to use as written; it is the clinically precise term.,https://www.psychiatry.org/psychiatrists/practice/dsm,,sourced,remission
Gambling-free date,,A,Recovery language,"The date a person last gambled, used as the anchor for counting days. The equivalent of a ""sober date"" in alcohol recovery, and the number most recovery apps and fellowships build their milestones around.","""gambling-free date"" or ""bet-free date."" Avoid ""clean date.""",https://www.recoveryanswers.org/addiction-ary/,,sourced,gambling-free-date
Sober date,,A,Recovery language,"The general-recovery term for the date someone stopped. In gambling recovery many people prefer ""gambling-free date,"" because ""sober"" reads as alcohol and can make gambling harm feel like it does not count.","""gambling-free date"" when writing specifically about gambling.",https://www.recoveryanswers.org/addiction-ary/,,sourced,sober-date
