operator,parent_company,product_type,deposit_limit,deposit_limit_periods,deposit_increase_delay,deposit_limit_source,loss_or_wager_limit,loss_or_wager_limit_source,time_session_limit_or_reality_check,time_session_source,cooloff_timeout,cooloff_durations,cooloff_source,self_exclusion_in_app,self_exclusion_durations,self_exclusion_reversible,self_exclusion_source,accepts_written_self_exclusion_email,written_self_exclusion_address,written_self_exclusion_source,account_closure_path,account_closure_source,rg_tools_nav_path,rg_nav_source,rg_page_url,rg_page_date_visible,notes
DraftKings,DraftKings Inc.,"Sportsbook, casino, DFS, Pick6",Y,"Daily / weekly / monthly (account-level; applies across DFS, Pick6, Sportsbook and Casino)",Cooling-off. A waiting period applies before an increase; DraftKings states the length 'depends on the type of limit and where you live' and does not publish the per-state values. After the waiting period there is an additional 24-hour wait and the user must return to the limits page and confirm.,https://support.draftkings.com/dk/en-us/draftkings-limits-overview-us?id=kb_article_view&sysparm_article=KB0010544 | https://rg.draftkings.com/limits/deposit,"Y (both). Loss limit: blocks further wagering once the set loss amount is reached, until the period ends or the user wins money back. Wager limit: daily/weekly/monthly, plus a Max Single Wager cap set separately for Sportsbook, Casino and Electric Poker.",https://rg.draftkings.com/limits/loss | https://help.draftkings.com/hc/en-us/articles/4406372665491-How-do-I-set-wagering-limits-for-DraftKings-Sportsbook-and-Casino-US,"Y (time limit). Caps time on Sportsbook and Casino per day; daily limits reset at midnight UTC, weekly on Sunday morning, monthly on the 1st. No reality-check pop-up documented.",https://rg.draftkings.com/limits/time | https://help.draftkings.com/hc/en-us/articles/4406378761747-How-do-I-limit-the-amount-of-time-I-spend-on-DraftKings-Sportsbook-and-Casino-US,Y,"not published - the cool-off help article describes the mechanics (funds stay in the account, contact support to withdraw during the period) but does not list the durations offered",https://support.draftkings.com/dk/en-us/draftkings-cool-off-period-overview-us?id=kb_article_view&sysparm_article=KB0010500,Y,Stated as 'up to 5 years'. Exact duration menu is not published - the help article routes the user to 'state-specific instructions on the page'.,No - cannot log in until the selected period has passed; applies to all DraftKings products,https://support.draftkings.com/dk/en-us/draftkings-self-exclusion-overview-us?id=kb_article_view&sysparm_article=KB0010453 | https://rg.draftkings.com/breaks/self-exclusion,N,,"Betttr self-exclusion directory (marketing/self-exclusion-directory-data.json), Q3 2026","Self-serve, but only as self-exclusion. The documented 'Close Account' control leads to the Self Exclusion flow. A closure that is not a self-exclusion is not published.",https://help.draftkings.com/hc/en-us/articles/4405232295827-How-do-I-limit-my-access-to-DraftKings-US,"Documented for self-exclusion only. Mobile: profile photo (top right) > scroll down > Close Account > Self Exclusion. Desktop: profile photo > Account Information > Self Exclusion (left rail). The path to deposit/loss/time limits inside the app is not published; rg.draftkings.com is a separate marketing site, not the in-app control.",https://help.draftkings.com/hc/en-us/articles/4405232295827-How-do-I-limit-my-access-to-DraftKings-US,https://www.draftkings.com/responsible-gaming | https://rg.draftkings.com/,not published (no last-modified or version date on the page),"DraftKings publishes the most complete tool set of the 14 (deposit, loss, wager, single-wager, time, contest-entry) but publishes none of the duration menus for cool-off or self-exclusion."
FanDuel,Flutter Entertainment plc,"Sportsbook, casino, DFS, racing, poker, predictions",Y,Daily / weekly / monthly,"Cooling-off. Decreases take effect immediately. Increases require the user to request the increase, wait out a cooldown, then return to the RG Tools page and confirm. The cooldown length is not published.",https://support.fanduel.com/s/article/How-do-I-set-account-limits | https://www.fanduel.com/playwithaplan/sportsbook,"Wager (spend) limit Y - daily/weekly/monthly cap on amount wagered, blocks further wagers for the period. A loss limit as a distinct tool is not published. Deposit alerts (a reminder, not a block) are also offered.",https://support.fanduel.com/s/article/How-do-I-set-account-limits | https://www.fanduel.com/about/customer-commitment/player-empowerment,Y (time limit). Maximum daily hours across FanDuel products; the user is blocked from logging in once the limit is hit. A reality-check pop-up is not published.,https://support.fanduel.com/s/article/What-s-the-difference-between-a-Time-Limit-and-a-Timeout-on-FanDuel,Y,3 to 365 days. No login is possible for the whole period.,https://support.fanduel.com/s/article/How-do-I-put-a-Timeout-on-My-Account,Y,"Self-exclusion starts at 1 year (user selects a number of years); a separate account suspension of 3, 6, 9 or 12 months is also documented. Self-exclusion can be scoped to FanDuel only or to all operators in the state where a state-wide program exists.",No - no account access for the selected period,https://support.fanduel.com/s/article/What-is-self-exclusion,N,,"Betttr self-exclusion directory (marketing/self-exclusion-directory-data.json), Q3 2026",Self-exclusion is self-serve (a 'Set Self-Exclusion' button on the RG page). Ordinary account closure is not published as self-serve - contact customer support.,https://www.fanduel.com/playwithaplan/sportsbook | https://support.fanduel.com/s/article/What-is-self-exclusion,Tools live on an 'RG Tools' page inside the account; FanDuel's public RG hub is /playwithaplan/ with a per-product page. The number of taps from the app's main nav is not published.,https://www.fanduel.com/playwithaplan/sportsbook,https://www.fanduel.com/playwithaplan/sportsbook | https://www.fanduel.com/responsibleplay,not published,FanDuel is the only operator in the set that publishes a full timeout range (3-365 days) AND separates 'Time Limit' from 'Timeout' in its own help article.
BetMGM,BetMGM LLC (MGM Resorts / Entain JV),"Sportsbook, casino, poker, horse racing",Y,Daily / weekly / monthly,"Cooling-off, and it is quantified. Decreases take effect immediately with an instant text notification. Increases become valid only after the previous limit period expires: 1 day for daily limits, 7 days for weekly, 30 days for monthly.",https://help.nv.betmgm.com/en/general-information/responsible-gaming/patron-protection,"Y (loss limit). Maximum amount the user is willing to lose before betting stops, daily/weekly/monthly.",https://help.nv.betmgm.com/en/general-information/responsible-gaming/patron-protection,Y (time limit + warning). Maximum time online in a given day; a prompt warns that the limit is nearing and the account is then logged out automatically.,https://help.nv.betmgm.com/en/general-information/responsible-gaming/patron-protection,Y,"3 to 180 days; a 365-day timeout is also offered, during which the account will not be reactivated under any circumstances",https://sports.betmgm.com/en/blog/responsible-gambling-guide/ | https://casino.betmgm.com/en/blog/how-to-set-yourself-time-and-money-limits-when-playing-casino-games/,Y,not published at the national level - durations are state-specific and BetMGM does not publish a consolidated list,No for the 365-day timeout (explicitly 'will not be reactivated under any circumstances'); self-exclusion reversibility is state-specific and not published,https://help.nv.betmgm.com/en/general-information/responsible-gaming/patron-protection,N,,"Betttr self-exclusion directory (marketing/self-exclusion-directory-data.json), Q3 2026",not published as self-serve,https://www.betmgm.com/en/p/account-faqs,Menu > Responsible Gaming > Self-Exclusion > choose duration > confirm (path recorded in the Betttr self-exclusion directory). BetMGM does not publish the in-app path to deposit/loss/time limits.,"Betttr self-exclusion directory (marketing/self-exclusion-directory-data.json), Q3 2026 | https://help.nv.betmgm.com/en/general-information/responsible-gaming/patron-protection",https://help.nv.betmgm.com/en/general-information/responsible-gaming/patron-protection (state-scoped: help.<state>.betmgm.com),not published,"BetMGM is the only operator in the set that publishes the exact length of the deposit-limit-increase delay for every period (1 / 7 / 30 days). Its RG page is state-scoped, so there is no single national URL."
Caesars Sportsbook,"Caesars Entertainment, Inc.",Sportsbook and casino,Y,Daily / weekly / monthly,not published,https://www.caesars.com/sportsbook-and-casino/support/responsible-gaming,Spending limit Y - maximum bet spend for a daily/weekly/monthly window. A loss limit as a distinct tool is not published.,https://www.caesars.com/sportsbook-and-casino/support/responsible-gaming,"Y (daily time limit, in hours, on the internet gaming system). Reality check not published.",https://www.caesars.com/sportsbook-and-casino/support/responsible-gaming,Y,3 to 30 days ('Cool Off Time Limit'),https://www.caesars.com/sportsbook-and-casino/support/responsible-gaming,Y,Minimum 12 months in most jurisdictions. Published state variants: New Jersey 1 year or 5 years; Indiana 1 year or 5 years.,No before expiry,https://www.caesars.com/sportsbook-and-casino/support/responsible-gaming | https://www.caesars.com/sportsbook-and-casino/nj/support/responsible-gaming/ | https://www.caesars.com/sportsbook-and-casino/in/support/responsible-gaming/,Y,responsiblegaming@caesarssportsbook.com (attach a photo of your ID),"Betttr self-exclusion directory (marketing/self-exclusion-directory-data.json), Q3 2026 | https://www.caesars.com/sportsbook-and-casino/support/responsible-gaming",not published as self-serve. Caesars publishes an RG email and a phone line ((855) 474-0606) for marketing opt-out and RG requests.,https://www.caesars.com/sportsbook-and-casino/support/responsible-gaming,Limits are reached through the Responsible Gaming section of account settings. The number of taps from the main nav is not published.,https://www.caesars.com/sportsbook-and-casino/support/responsible-gaming,https://www.caesars.com/sportsbook-and-casino/support/responsible-gaming (state variants at /sportsbook-and-casino/<st>/support/responsible-gaming/),not published,"Caesars redirects /sportsbook-and-casino/responsible-gaming to /support/responsible-gaming - the RG page sits under Support, not under a top-level nav item. Caesars publishes an RG-specific email address; note this conflicts with Betttr's own product copy, which lists Caesars among the majors that do not accept a written request (see verification notes)."
theScore Bet (formerly ESPN BET),"PENN Entertainment, Inc.",Sportsbook and casino,Y,Daily / weekly / monthly,Cooling-off by expiry. Decreases take effect immediately. The user cannot deposit further or increase the limit until the previous limit period has expired.,https://espnbet.zendesk.com/hc/en-us/articles/20099735343501-How-To-Play-Responsibly | https://thescore.bet/help/rg,Partially published. The RG page states that limits on 'wagering amounts' are offered; the periods and whether a loss limit exists as a distinct tool are not published.,https://support.espn.com/hc/en-us/articles/20503199873428-ESPN-BET-Responsible-Gambling-Information,"Partially published. 'Limits on access time' are stated; the periods, values and whether a reality check exists are not published.",https://support.espn.com/hc/en-us/articles/20503199873428-ESPN-BET-Responsible-Gambling-Information,Y,3 days to 4 weeks. State minimums are published separately in the state terms: New York and Colorado no less than 72 hours and no more than 1 year; Maryland no less than 30 days and no more than 1 year.,https://espnbet.zendesk.com/hc/en-us/articles/20099735343501-How-To-Play-Responsibly | https://espnbet.zendesk.com/hc/en-us/articles/29391398544269-ESPN-BET-State-Specific-Terms-and-Conditions-NY | https://espnbet.zendesk.com/hc/en-us/articles/20369866611213-ESPN-BET-State-Specific-Terms-and-Conditions-MD,Y,"6 months, 1 year, 5 years, or permanent",No - the account is closed and any remaining balance returned; no wagering or depositing during the period,https://espnbet.zendesk.com/hc/en-us/articles/20095764236301-Self-Exclusion,N,,"Betttr self-exclusion directory (marketing/self-exclusion-directory-data.json), Q3 2026",Self-exclusion closes the account and returns the balance. Ordinary account closure is not published as self-serve.,https://espnbet.zendesk.com/hc/en-us/articles/20095764236301-Self-Exclusion,not published,https://thescore.bet/help/rg,https://thescore.bet/help/rg (legacy ESPN BET help articles remain live at espnbet.zendesk.com),not published,"SCOPE CORRECTION: the ESPN BET brand no longer exists. PENN Entertainment and ESPN terminated the US online sports betting agreement effective 1 December 2025 and the product was rebranded theScore Bet, with account funds and open bets transferred automatically. The ESPN BET help centre articles are still served and are still the most specific public statement of the RG durations."
Fanatics Sportsbook,Fanatics Betting & Gaming,Sportsbook and casino,Y,Daily / weekly / monthly,Cooling-off by expiry. Decreases take effect immediately; to increase a limit the prior limit's time period must first lapse.,https://sportsbook.fanatics.com/legal/responsible-gaming/,Y (both). A loss limit - daily/weekly/monthly cap on 'how much money you can risk during a period of time' - plus a maximum single wager limit.,https://sportsbook.fanatics.com/legal/responsible-gaming/ | https://sportsbook.fanatics.com/legal/mi/responsible-gaming/,"Y (session time limit), daily / weekly / monthly. Reality check not published.",https://sportsbook.fanatics.com/legal/responsible-gaming/,Y,Timeout: any period between 3 and 365 days. State pages also document a cool-off / suspension of no less than 72 hours.,https://sportsbook.fanatics.com/legal/responsible-gaming/ | https://sportsbook.fanatics.com/legal/va/responsible-gaming,Y,Minimum term 1 year,"No - no login until the period expires; no wagering, depositing or account changes",https://sportsbook.fanatics.com/legal/responsible-gaming/ | https://sportsbook.fanatics.com/legal/tn/responsible-gaming/,N,"Not applicable - support@betfanatics.com handles account closure, not self-exclusion",https://sportsbook.fanatics.com/legal/responsible-gaming/ (self-exclusion is in-app; verified 2026-09-16),Must contact support - 'You may close your account at any time by contacting the support team',https://sportsbook.fanatics.com/legal/responsible-gaming/,"not published. Fanatics' RG content is filed under /legal/, per state.",https://sportsbook.fanatics.com/legal/responsible-gaming/,https://sportsbook.fanatics.com/legal/responsible-gaming/ (state variants at /legal/<st>/responsible-gaming/),not published,"Fanatics is the only operator in the set that publishes a payment-method restriction tool (blocking deposits from a specific payment method). Its RG page lives under /legal/, which is the clearest example in the set of RG tools documented as a compliance artefact rather than a product feature. Betttr's own product copy lists Fanatics among the majors that do not accept a written request - see verification notes. Written self-exclusion: NO (Betttr ruling 2026-09-21, option A) - the published support address is for account closure."
bet365 (US),Hillside (New Jersey) LLC / bet365 Group Ltd,Sportsbook and casino,Y,Calendar day / week / month,"Cooling-off, and it is quantified. Decreases apply immediately. An increase requires a 7-day wait before the request is actioned, after which the user must return and confirm they still want the increase.",https://help.bet365.com/s/en-us/my-account/deposit-limits,"Spend limit Y - restricts the total that can be wagered in a calendar day, week or month, counting both sportsbook and gaming spend. A loss limit as a distinct tool is not published.",https://responsiblegaming.nj.bet365.com/stay-in-control/limit-your-account,Y (Reality Check). A pop-up shows how long the user has been logged in and the session's winnings and losses. A hard session time limit is not published.,https://responsiblegaming.nj.bet365.com/stay-in-control/limit-your-account,Y,"72 hours, 7 days, or 30 days. The user can still log in to withdraw a remaining balance but cannot wager.",https://responsiblegaming.nj.bet365.com/stay-in-control/time-out,Y,"New Jersey: 1 year, 5 years, or permanent. Other regions publish 6 months, 1, 2 or 5 years, or indefinite. In New Jersey the exclusion covers bet365 and all licensees operating in the state.",No - 'it will not be possible to re-open your account for any reason' during the period,https://responsiblegaming.nj.bet365.com/stay-in-control/self-exclusion | https://help.bet365.com/s/en-us/my-account/self-exclusion,Y,supportusa-eng@customerservices365.com,"Betttr self-exclusion directory (marketing/self-exclusion-directory-data.json), Q3 2026","Self-serve online. The closure request requires choosing one of a set of closure periods, or entering a specific date.",https://help.bet365.com/s/en-us/my-account/account-closure,"not published as a tap path, but bet365 runs a dedicated per-state RG site (responsiblegaming.<state>.bet365.com) with a 'Stay In Control' section listing each tool on its own URL.",https://responsiblegaming.nj.bet365.com/,https://responsiblegaming.nj.bet365.com/ (state-scoped; also https://help.bet365.com/s/en-us/my-account/self-exclusion),not published,"bet365 is the only operator of the 14 with a documented self-serve account-closure flow that is separate from self-exclusion, and one of only two (with BetMGM) that publishes the exact length of its deposit-increase cooling-off."
Hard Rock Bet,Hard Rock Digital,Sportsbook and casino,Y,Daily / weekly / monthly,not published,https://www.hardrock.bet/responsible-gaming/ | https://www.hardrockdigital.com/responsible-gaming/,"Wager limit Y - restricts the size of bets and the amount wagered over a day, week or month. A loss limit as a distinct tool is not published.",https://www.hardrock.bet/responsible-gaming/,Y (both). Session limits restrict time logged in; session reminders are pop-ups showing time spent. Durations and reminder intervals are not published.,https://www.hardrock.bet/responsible-gaming/ | https://www.hardrockdigital.com/responsible-gaming/,Y,not published. The operator pages describe the timeout's behaviour (login still possible to withdraw and view history; no wagering or depositing) but list no durations.,https://www.hardrock.bet/responsible-gaming/,Y,State-specific and not consolidated. Published variants: New Jersey 1 or 5 years; Virginia 2 or 5 years.,No - New Jersey exclusion is stated as not revocable,https://www.hardrockdigital.com/responsible-gaming/ | https://www.hardrock.bet/responsible-gaming/,N,,"Betttr self-exclusion directory (marketing/self-exclusion-directory-data.json), Q3 2026",not published as self-serve; the documented routes out are timeout and self-exclusion,https://www.hardrock.bet/responsible-gaming/,not published as a tap path. Hard Rock Bet runs a standalone RG site (rg.hardrock.bet) launched as a separate property.,https://www.hardrock.bet/news/hard-rock-bet-launches-new-responsible-gaming-website/,https://www.hardrock.bet/responsible-gaming/ | https://www.hardrockdigital.com/responsible-gaming/ | rg.hardrock.bet,Indirect only - Hard Rock Bet published a dated news post announcing the RG site's launch. The RG pages themselves carry no date.,"Hard Rock Bet names six tools (deposit, wager, session, session reminder, timeout, self-exclusion) and publishes a duration for none of them."
BetRivers,"Rush Street Interactive, Inc.","Sportsbook, casino, poker",Y,Daily / weekly / monthly,not published,https://www.riverscasino.com/philadelphia/online-responsible-gaming-policy | https://www.rushstreetinteractive.com/responsible-gaming,Spending limit and wager limit Y - a spending cap plus a restriction on the maximum size of any single wager. A loss limit as a distinct tool is not published.,https://www.riverscasino.com/philadelphia/online-responsible-gaming-policy,"Y (time limit, hours per day). The range of hours offered is not published on operator pages. Reality check not published.",https://www.riverscasino.com/philadelphia/online-responsible-gaming-policy,Y,Cool-off of at least 72 hours (operator RG policy); the self-suspension / cooldown help article states 3 to 30 days. The cash balance can be withdrawn during a cool-off.,https://www.riverscasino.com/philadelphia/online-responsible-gaming-policy | https://helpcenter.mi.betrivers.com/hc/en-us/articles/360057823093-What-is-a-cooldown-and-how-can-I-enable-it-,"Partially. BetRivers documents participation in the state self-exclusion programme (e.g. Pennsylvania: 1 year, 5 years or lifetime) rather than an operator-run in-app self-exclusion with its own duration menu. An operator-only self-exclusion duration list is not published.",State programme durations only: Pennsylvania 1 year / 5 years / lifetime. Operator-level durations not published.,No - a self-suspension 'cannot be reversed or shortened'; state-programme exclusions run for the full term,https://www.riverscasino.com/philadelphia/online-responsible-gaming-policy | https://helpcenter.mi.betrivers.com/hc/en-us/articles/360057823093-What-is-a-cooldown-and-how-can-I-enable-it-,Y,"{state}support@betrivers.com - state-specific desk (e.g. nysupport@, ilsupport@, insupport@)","Betttr self-exclusion directory (marketing/self-exclusion-directory-data.json), Q3 2026","not published as self-serve. On joining a self-exclusion list, the cash balance is mailed to the address of record as a written cheque.",https://www.riverscasino.com/philadelphia/online-responsible-gaming-policy,"My Account > Responsible Gaming, then choose deposit / time / spending / wagering limits.",https://www.rushstreetinteractive.com/responsible-gaming | https://www.riverscasino.com/philadelphia/online-responsible-gaming-policy,https://www.rushstreetinteractive.com/responsible-gaming | https://www.riverscasino.com/philadelphia/online-responsible-gaming-policy | https://helpcenter.betrivers.com/s/,not published,"BetRivers is one of the few operators whose RG nav path is documented in plain words on a public page (My Account > Responsible Gaming). Its RG policy is published on the Rivers Casino corporate site rather than on the betting app's own domain, and the help centre is fragmented into one subdomain per state."
Fliff,Fliff Inc.,Social sportsbook / sweepstakes (Fliff Coins and Fliff Cash),"Y in policy, but NOT self-serve. Daily, weekly and/or monthly limits on Fliff Coins and Fliff Cash exist, but the user must sign in, use the 'Contact Us' link and email a request. Fliff states the limits are not in effect until it has implemented them and told the user.",Daily / weekly / monthly (by email request),not published,https://www.getfliff.com/responsible-social-gaming,not published,https://www.getfliff.com/responsible-social-gaming,not published,https://www.getfliff.com/responsible-social-gaming,Y (referenced in the RG policy),not published,https://www.getfliff.com/responsible-social-gaming,"N - by email only. The user selects 'Contact Us', enters an email address and sends a message naming the period.","1 year, 3 years or 5 years","No - the period cannot be shortened, though it can be extended. Applied 'as soon as practically possible', which Fliff states takes a reasonable working period.",https://www.getfliff.com/responsible-social-gaming,Y,support@getfliff.com,"Betttr self-exclusion directory (marketing/self-exclusion-directory-data.json), Q3 2026 | https://www.getfliff.com/responsible-social-gaming",Must contact support - a written email request to support@getfliff.com,https://www.getfliff.com/responsible-social-gaming,"No in-app responsible-gaming menu is documented. Every tool, including limits and self-exclusion, routes through a 'Contact Us' email.",https://www.getfliff.com/responsible-social-gaming,https://www.getfliff.com/responsible-social-gaming,not published,"Fliff is the clearest case in the set of tools that exist on paper but not in the product: no documented tool can be switched on without emailing the operator and waiting for a human to act, and Fliff states explicitly that a requested limit does not bind until it says so."
